,Model,Displ,Fuel,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,CityKML,HwyKML,CmbKML
0,ACURA ILX,2.4,Gasoline,24.0,34.0,28.0,6,10.20336,14.45476,11.903920000000001
1,ACURA MDX,3.0,Gasoline,26.0,27.0,27.0,6,11.05364,11.47878,11.47878
2,ACURA MDX,3.5,Gasoline,20.0,27.0,23.0,5,8.5028,11.47878,9.778220000000001
3,ACURA MDX,3.5,Gasoline,19.0,26.0,22.0,4,8.07766,11.05364,9.35308
4,ACURA MDX A-spec,3.5,Gasoline,19.0,25.0,21.0,4,8.07766,10.6285,8.92794
5,ACURA NSX,3.5,Gasoline,21.0,22.0,21.0,4,8.92794,9.35308,8.92794
6,ACURA RLX,3.5,Gasoline,20.0,29.0,23.0,5,8.5028,12.32906,9.778220000000001
7,ACURA TLX,2.4,Gasoline,23.0,33.0,27.0,6,9.778220000000001,14.029620000000001,11.47878
8,ACURA TLX,3.5,Gasoline,20.0,31.0,24.0,5,8.5028,13.17934,10.20336
9,ACURA TLX,3.5,Gasoline,20.0,29.0,23.0,5,8.5028,12.32906,9.778220000000001
10,ACURA TLX AWD A-SPEC,3.5,Gasoline,20.0,29.0,23.0,5,8.5028,12.32906,9.778220000000001
11,ACURA TLX FWD A-SPEC,2.4,Gasoline,23.0,32.0,26.0,5,9.778220000000001,13.60448,11.05364
12,ACURA TLX FWD A-SPEC,3.5,Gasoline,20.0,30.0,23.0,5,8.5028,12.7542,9.778220000000001
13,ALFA ROMEO Giulia,2.9,Gasoline,17.0,24.0,20.0,4,7.22738,10.20336,8.5028
14,ALFA ROMEO Stelvio AWD,2.9,Gasoline,17.0,23.0,19.0,3,7.22738,9.778220000000001,8.07766
15,ASTON MARTIN DB11,4.0,Gasoline,18.0,24.0,20.0,4,7.65252,10.20336,8.5028
16,ASTON MARTIN DB11,5.2,Gasoline,15.0,22.0,18.0,3,6.3771,9.35308,7.65252
17,ASTON MARTIN DBS,5.2,Gasoline,14.0,22.0,17.0,3,5.951960000000001,9.35308,7.22738
18,ASTON MARTIN Rapide S,6.0,Gasoline,14.0,21.0,17.0,3,5.951960000000001,8.92794,7.22738
19,ASTON MARTIN Vanquish S,6.0,Gasoline,13.0,21.0,16.0,2,5.52682,8.92794,6.80224
20,AUDI A8 L,3.0,Gasoline,19.0,27.0,22.0,4,8.07766,11.47878,9.35308
21,AUDI Q5,2.0,Gasoline,22.0,27.0,24.0,5,9.35308,11.47878,10.20336
22,AUDI Q7,2.0,Gasoline,19.0,25.0,21.0,4,8.07766,10.6285,8.92794
23,AUDI Q7,3.0,Gasoline,19.0,25.0,21.0,4,8.07766,10.6285,8.92794
24,AUDI Q8,3.0,Gasoline,17.0,22.0,19.0,3,7.22738,9.35308,8.07766
25,AUDI RS 3,2.5,Gasoline,19.0,28.0,22.0,4,8.07766,11.903920000000001,9.35308
26,AUDI S3,2.0,Gasoline,22.0,29.0,25.0,5,9.35308,12.32906,10.6285
27,AUDI TT RS,2.5,Gasoline,20.0,28.0,23.0,5,8.5028,11.903920000000001,9.778220000000001
28,AUDI TTS Coupe,2.0,Gasoline,23.0,29.0,25.0,5,9.778220000000001,12.32906,10.6285
29,BENTLEY Bentayga,4.0,Gasoline,14.0,23.0,17.0,3,5.951960000000001,9.778220000000001,7.22738
30,BMW 340i Gran Turismo,3.0,Gasoline,20.0,29.0,23.0,5,8.5028,12.32906,9.778220000000001
31,BMW 440i Convertible,3.0,Gasoline,21.0,29.0,24.0,5,8.92794,12.32906,10.20336
32,BMW 440i Convertible,3.0,Gasoline,20.0,29.0,23.0,5,8.5028,12.32906,9.778220000000001
33,BMW 440i Coupe,3.0,Gasoline,18.0,28.0,22.0,4,7.65252,11.903920000000001,9.35308
34,BMW 440i Coupe,3.0,Gasoline,18.0,28.0,21.0,4,7.65252,11.903920000000001,8.92794
35,BMW 440i Coupe,3.0,Gasoline,21.0,32.0,25.0,5,8.92794,13.60448,10.6285
36,BMW 440i Coupe,3.0,Gasoline,21.0,31.0,24.0,5,8.92794,13.17934,10.20336
37,BMW 440i Gran Coupe,3.0,Gasoline,21.0,32.0,25.0,5,8.92794,13.60448,10.6285
38,BMW 440i Gran Coupe,3.0,Gasoline,21.0,31.0,24.0,5,8.92794,13.17934,10.20336
